num_cr,page_start,page_end,types
1,1,7,[' MOE']
2,8,15,[' MOE']
3,16,23,[' MOE']
4,24,31,[' MOE']
5,32,41,[' MOE']
6,42,51,[' MOE']
7,52,59,[' MOE']
8,60,73,[' MOE']
9,74,94,[' MOE']
10,95,114,[' MOE']
11,115,129,[' MOE']
12,130,148,[' MOE']
13,149,160,[' MOE']
14,161,172,[' MOE']
15,173,183,[' MOE']
16,184,199,[' MOE']
17,200,210,[' MOE']
18,211,221,[' MOE']
19,222,233,[' MOE']
20,234,245,[' MOE']
21,246,256,[' MOE']
22,257,267,[' MOE']
23,268,279,[' MOE']
24,280,288,[' MOE']
25,289,299,[' MOE']
26,300,308,[' MOE']
27,309,309,[' MOE']
28,310,319,[' MOE']
29,320,330,[' MOE']
30,331,341,[' MOE']
31,342,354,[' MOE']
32,355,366,[' MOE']
33,367,367,[' MOE']
34,368,368,[' MOE']
35,369,369,[' MOE']
36,370,370,[' MOE']
37,371,371,[' MOE']
38,372,372,[' MOE']
39,373,381,[' MOE']
40,382,382,[' OPC']
41,383,383,[' OPC']
42,384,384,[' OPC']
43,385,395,[' OPC']
44,396,396,[' MOE']
45,397,397,[' MOE']
46,398,407,[' MOE']
47,408,408,[' MOE']
48,409,409,[' MOE']
49,410,410,[' MOE']
50,411,411,[' MOE']
51,412,412,[' MOE']
52,413,413,[' MOE']
53,414,414,[' MOE']
54,415,415,[' MOE']
55,416,416,[' MOE']
56,417,417,[' MOE']
57,418,418,[' MOE']
58,419,422,[' MOE']
59,423,438,[' MOE']
60,439,454,[' MOE']
61,455,468,[' MOE']
62,469,482,[' MOE']
63,483,495,[' MOE']
64,496,509,[' MOE']
65,510,510,[' MOE']
66,511,523,[' MOE']
67,524,536,[' MOE']
68,537,550,[' MOE']
69,551,569,[' MOE']
70,570,588,[' MOE']
71,589,604,[' MOE']
72,605,640,[' MOE']
73,641,641,[' MOE']
74,642,656,[' MOE']
75,657,673,[' MOE']
76,674,686,[' MOE']
77,687,699,[' MOE']
78,700,712,[' MOE']
79,713,725,[' MOE']
80,726,739,[' MOE']
81,740,754,[' MOE']
82,755,768,[' MOE']
83,769,783,"[' MOE', '']"
84,784,798,"[' MOE', '']"
85,799,813,"[' MOE', '']"
86,814,828,"[' MOE', '']"
87,829,843,"[' MOE', '']"
88,844,858,"[' MOE', '']"
89,859,872,"[' MOE', '']"
90,873,885,"[' MOE', '']"
91,886,898,"[' MOE', '']"
