num_cr,page_table_start,page_table_end,title,company,date,cell,line_order
1,5,5,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",3
1,5,5,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,5
1,5,5,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Organisation de chantier selon directives de l’OPC ,7
1,5,5,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Constat d’huissier des avoisinants à faire avant intervention sur site ,9
1,6,6,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",3
1,6,6,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,5
1,6,6,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,Organisation de chantier selon directives de l’OPC ,7
1,7,7,Lot 24 – VRD,COLAS ,2011-03-15,"Votre plan des réseaux d’assainissement est refusé car sous dimensionné, vous devez rester conforme aux prescriptions du cabinet D&H 
PAYSAGES ",3
1,7,7,Lot 24 – VRD,COLAS ,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",6
1,7,7,Lot 24 – VRD,COLAS ,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,8
1,7,7,Lot 24 – VRD,COLAS ,2011-03-15,Organisation de chantier selon directives de l’OPC ,10
1,7,7,Lot 24 – VRD,COLAS ,2011-03-15,Constat d’huissier des avoisinants à faire avant intervention sur site ,12
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",3
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,5
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Organisation de chantier selon directives de l’OPC ,7
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-15,Constat d’huissier des avoisinants à faire avant intervention sur site ,9
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-22,Vous présentez afin de faire un point sur les recépage de pieux en présence de SONDEFOR,10
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-22,Point élec en présence de FORCLUM ,12
2,12,12,Lot 2 – TERRASSEMENTS – FONDATIONS – GROS ŒUVRE,TOMASSINI,2011-03-22,"Vous annoncez installer la base vie le 2 mai 11, idem clôtures ",14
2,13,13,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",3
2,13,13,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,5
2,13,13,Lot 14 – ETANCHEITE REVETEMENTS SOLS – MURAUX CARRELES,BAUTERS,2011-03-15,Organisation de chantier selon directives de l’OPC ,7
2,14,14,Lot 24 – VRD,COLAS ,2011-03-15,"Votre plan des réseaux d’assainissement est refusé car sous dimensionné, vous devez rester conforme aux prescriptions du cabinet D&H 
PAYSAGES ",3
2,14,14,Lot 24 – VRD,COLAS ,2011-03-15,"Transmettre au OCTANT  OPC les fiches technique des matériaux et matériels que vous souhaitez mettre en œuvre pour observation / copie 
BC ",6
2,14,14,Lot 24 – VRD,COLAS ,2011-03-15,Transmettre les documents selon liste des documents à transmettre par les entreprises ,8
2,14,14,Lot 24 – VRD,COLAS ,2011-03-15,Organisation de chantier selon directives de l’OPC ,10
2,14,14,Lot 24 – VRD,COLAS ,2011-03-15,Constat d’huissier des avoisinants à faire avant intervention sur site ,12
2,14,14,Lot 24 – VRD,COLAS ,2011-03-22,"Transmettre le plan PAC des dalot et coupes, ces derniers ferons 3Mx1.5M HT+ transmettre note de calcul ",14
2,14,14,Lot 24 – VRD,COLAS ,2011-03-22,Répondre aux observations de D&H ,16
