cell,dates,nums_cr,pages_table_start,line_order,title
" BC signale avoir découvert un câble traversant le parking, qui semble être une ali- mentation d’éclairage public. Réfection à prévoir avant la fin de chantier ASSISTANT MAITRISE D’OUVRAGE",['17-09-2013'],"[10, 11, 14, 15]","[47, 52, 69, 75]",3,VILLE
" prévoir de récupérer tout ce que la Ville et DALKIA souhaitent récupérer dans et au- tour de la piscine pour le 15/07/13 (matériel pédagogique, portail, arceaux vélos, candélabres, matériel technique, …)",['26-06-2013'],"[1, 2]","[3, 7]",1,VILLE
" suite à mise au point avec EJL, il est urgent de commander le raccordement du nouveau réseau d’assainissement de la maison voisine depuis la limite de propriété jusqu’au collecteur (intervention concession- naire à programmer). 24/09/13 : voir avec NOREADE pour reprise au plus tôt",['17-08-2013'],"[11, 14, 15, 16, 17]","[52, 69, 75, 81, 87]",2,VILLE
" suite à mise au point avec EJL, il est urgent de commander le raccordement du nouveau réseau d’assainissement de la maison voisine depuis la limite de propriété jusqu’au collecteur (intervention concessionnaire à programmer). 24/09/13 : voir avec NOREADE pour reprise au plus tôt. 29/10/13 : commande faite. 12/11/13 : in- tervention semaine 47",['17-08-2013'],"[18, 19, 20]","[93, 99, 105]",1,VILLE
 voir pour dévier le câble électrique surplombant l’angle de la parcelle côté rue Du- bois ASSISTANT MAITRISE D’OUVRAGE,['26-06-2013'],"[1, 2]","[3, 7]",5,VILLE
 voir pour évacuer le container stocké sur le parking y compris l’alimentation élec- trique qui court jusqu’en limite du logement du gardien,['26-06-2013'],"[1, 2]","[3, 7]",4,VILLE
 BC renonce à l’avance forfaitaire,['26-06-2013'],"[1, 2, 3, 4]","[3, 7, 11, 16]",3,VILLE
 DR propose de remplacer les potences de mise à l’eau PMR par un fauteuil roulant spécifique ASSISTANT MAITRISE D’OUVRAGE,['03-09-2013'],[8],[37],1,VILLE
 DR propose de remplacer les potences de mise à l’eau PMR par un fauteuil roulant spécifique. 10/09/13 : proposition validée par MOA,['03-09-2013'],"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[47, 52, 57, 63, 69, 75, 81, 87, 93, 99]",0,VILLE
 DR propose de remplacer les potences de mise à l’eau PMR par un fauteuil roulant spécifique. 10/09/13 : proposition validée par MOA ASSISTANT MAITRISE D’OUVRAGE,['03-09-2013'],[9],[42],1,VILLE
