cell,dates,nums_cr,pages_table_start,line_order,title
"SNEF signale que les réservations demandées n’ont pas été prises en compte en RDC et R+1.
04/12/13 : pris en compte sur plans remis ce jour
Contrôle réservations en sous sol du 18/12/13
- Déboucher toutes les réservations
- Locaux TE / TA :
. 2 ventilations de bac tampon fosse de plongée à carotter
. 3 pièces à sceller bac tampon plongée à carotter : plan précis à fournir par EAS
. manque 4 réservations en PH pour COEXIA : plan précis à fournir par COEXIA
. manque 1 réservation COEXIA en voile cour anglaise
. vérifier si robinet de puisage dans socle casiers piscine
. vérifier siphon + évacuation sanitaires entrée et sanitaires douches piscine : confirmer nature des réseaux à pas-
ser par COEXIA
- Galeries techniques :
. voile à proximité local technique ludique à vérifier
. manque 1 réservation SNEF à proximité du local technique ludique
. manque 1 réservation COEXIA en voile infrastructure à côté du bassin d’apprentissage
. manque 3 réservations COEXIA à côté des bacs tampon
. vérifier possibilité de descendre réseau EU plages sous poutres autour du bassin d’activités (AI poutre à – 0.58
sauf une poutre à – 0.63)
. prévoir un gabarit pour vérification réservation grille de soufflage au sol
Contrôle réservations en RDC du 22/01/14
- manque 1∅200 dans local stockage univers petite enfance
- manque 1 réservation 20x40ht au droit douches à jets
- reprendre alignement 3 réservations rectangulaires dans salle fitness
- vérifier 2 réservations dans sanitaires publics
- vérifier 1 réservation dans local entretien vestiaires
- manque 1 réservation 35x35 en dalle haute du TGBT",['27-11-2013'],"[40, 41, 42]","[296, 305, 314]",42,BERIM
"SNEF signale que les réservations demandées n’ont pas été prises en compte en RDC et R+1.
04/12/13 : pris en compte sur plans remis ce jour
Contrôle réservations en sous sol du 18/12/13
- Linteau entrée sous-sol à recouper
- Déboucher toutes les réservations
- Locaux TE / TA :
. 2 ventilations de bac tampon fosse de plongée à carotter
. 3 pièces à sceller bac tampon plongée à carotter : plan précis à fournir par EAS
. manque 4 réservations en PH pour COEXIA : plan précis à fournir par COEXIA
. manque 1 réservation COEXIA en voile cour anglaise
. vérifier si robinet de puisage dans socle casiers piscine
. vérifier siphon + évacuation sanitaires entrée et sanitaires douches piscine : confirmer nature des réseaux à pas-
ser par COEXIA
- Galeries techniques :
. voile à proximité local technique ludique à vérifier
. manque 1 réservation SNEF à proximité du local technique ludique
. manque 1 réservation COEXIA en voile infrastructure à côté du bassin d’apprentissage
. vérifier ∅200 manquant en voile bac tampon. 15/01/14 : pas nécessaire
. manque 3 réservations COEXIA à côté des bacs tampon
. vérifier possibilité de descendre réseau EU plages sous poutres autour du bassin d’activités (AI poutre à – 0.58
sauf une poutre à – 0.63)
. prévoir un gabarit pour vérification réservation grille de soufflage au sol",['27-11-2013'],"[36, 37, 38, 39]","[261, 269, 278, 287]",39,BERIM
"SOGEA informe qu’il n’est pas possible d’avoir de vitrage teinté vert en triple vi-
trage. A vérifier et donner instruction",['06-03-2013'],"[1, 2, 3]","[10, 15, 20]",9,BERIM
"Z1 à Z8 par SOGEA. Idem pour la Z11, Z12, Z15 à Z21 à charge SOGEA. Les Z9 et Z23 sont
à charge COEXIA
Synthèse",['17-04-2013'],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 49, 51]","[154, 161, 168, 176, 183, 191, 198, 206, 213, 221, 229, 237, 245, 253, 261, 269, 278, 287, 296, 305, 314, 323, 332, 341, 350, 359, 368, 377, 388, 406]",16,BERIM
"Z13 et 14, pénétration dans bâtiment en point haut + attente au sol par SOGEA, descente
intérieure entre les 2 attentes par COEXIA. Il en va de même pour la Z10+Z24",['17-04-2013'],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 49, 51, 52, 53, 54, 55, 56]","[154, 161, 168, 176, 183, 191, 198, 206, 213, 221, 229, 237, 245, 253, 261, 269, 278, 287, 296, 305, 314, 323, 332, 341, 350, 359, 368, 377, 388, 406, 422, 431, 440, 449, 458]",13,BERIM
"confirmer la finition des pédiluves extérieurs en tenant compte de la nécessité d’une
étanchéité sur le support béton",['26-08-2015'],"[83, 84, 85]","[728, 738, 748]",20,BERIM
"confirmer la hauteur de la retombée du pan incliné au droit verrière tipi pour incor-
poration bouche d’aspiration ventilation",['11-03-2015'],"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92]","[519, 527, 535, 544, 553, 562, 571, 583, 598, 610, 625, 637, 652, 662, 671, 680, 689, 708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825]",19,BERIM
"confirmer le principe de fonctionnement des pédiluves souhaité : alimentation, trop
plein, évacuation",['22-01-2014'],"[39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 49, 51]","[288, 297, 306, 324, 333, 342, 351, 360, 369, 378, 390, 408]",19,BERIM
"confirmer que l’éclairage public au droit des quais bus (hors limite de prestation)
est dans le marché travaux",['22-07-2015'],"[81, 82, 83, 84, 85, 86, 87]","[708, 718, 728, 738, 748, 758, 768]",18,BERIM
"contacter EAU et FORCE pour confirmer que le compteur d’eau est de type à impulsion.
18/06/14 : transmettre besoin en eau à EAU et FORCE. 08/04/15 : organiser réunion concessionnaires",['23-04-2014'],"[67, 68, 69, 70]","[553, 562, 571, 583]",7,BERIM
"contacter EAU et FORCE pour confirmer que le compteur d’eau est de type à impulsion.
18/06/14 : transmettre besoin en eau à EAU et FORCE. 08/04/15 : organiser réunion concessionnaires.
06/05/15 : URGENT",['23-04-2014'],"[71, 72]","[598, 610]",8,BERIM
"contacter EAU et FORCE pour confirmer que le compteur d’eau est de type à impulsion.
18/06/14 : transmettre besoin en eau à EAU et FORCE. 08/04/15 : organiser réunion concessionnaires.
06/05/15 : URGENT ; 13/05/15 : Organisera une réunion des concessionnaires première quinzaine de
juin 2015. 20/05/15 : réunion le 03/06/15 à 14h00",['23-04-2014'],"[73, 74]","[625, 637]",9,BERIM
"diffuser plan de socles sur terrasse technique. 06/11/13 : tenir compte épaisseur complexe
isolant/étanchéité 100mm
Réservations en phase réalisation",['30-10-2013'],"[30, 31, 32, 33]","[213, 221, 229, 237]",19,BERIM
