cell,dates,nums_cr,pages_table_start,line_order,title
Donner les directives sur les interventions entreprises selon planning,['15-03-2011'],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[4, 11, 19, 27, 36, 46, 55, 64, 78, 99, 120, 134, 153, 165, 177, 188, 204, 215, 226, 238, 250, 260]",6,OPC
"Donner les directives à JMS lors de votre réunion pour la déplantation des arbres sur le site. La CAPH récupère les arbres et devra être
présente pour réceptionner les arbres déplantés ",['15-03-2011'],"[1, 2, 3, 4]","[4, 11, 19, 27]",2,OPC
Définir et transmettre le circuit de diffusion et d’approbation des documents ,['15-03-2011'],"[1, 2, 3, 4]","[4, 11, 19, 27]",4,OPC
"Planning diffusé ce jour pour approbation ou remarques des entreprises avant le 18 Juillet 2011 ; passé ce délais, sans remarques des
entreprises le planning TCE sera notifié par OS et réputé contractuel ",['07-07-2011'],"[16, 17, 18, 19, 20, 21, 22]","[188, 204, 215, 226, 238, 250, 260]",3,OPC
"30/06/11 Prévoir réunion avec les pompiers en septembre
01/09/11Mettre les plans de charpente sur serveur et tenir informées par mail les entreprises de chaque mise à jour sur serveur 
Mettre à jour les plan charpente /couverture avec dimensionnement des lanterneaux 
Faire fiche observation sur dossier bardage ",['27-11-2011'],"[25, 26, 29, 30]","[292, 303, 323, 334]",4,OPC
"Attention pour essais efficacité désenfumage faire convocations : SOJA – COEXIA- BOUYGUES – EIFFAGE – PMN – SSI – POMPIERS (via
invitation MO) - BC ",['29-08-2013'],"[80, 81, 82, 83, 84]","[729, 743, 758, 772, 787]",2,OPC
Faire fiche observation sur plan calepinage bac acier de STEREC,['08-09-2011'],"[25, 26, 29, 30]","[292, 303, 323, 334]",7,OPC
"Fournir :
  plan des réseaux des drainages en épis sous l’emprise du bâtiment, le GO coule les plages et doit donc intervenir au niveau des galeries 
techniques : FAIT 
plan d’implantation des caméras de vidéosurveillance 
Une signalétique particulière devra être mentionnée sur le local refuge : « accès handicapé » 
PMN en attente retour sur choix échantillons proposés notamment : quincailleries : mat brillant ou satiné ? ",['08-09-2011'],"[25, 26, 29, 30]","[292, 303, 323, 334]",13,OPC
Gérer l’interface entre COLAS et SONDEFOR lors de la réalisation des enrobés et des premiers coulage de pieux,['12-04-2011'],"[5, 6, 7, 8, 9, 10, 11, 12]","[36, 46, 55, 64, 78, 99, 120, 134]",2,OPC
Prendre connaissance et répondre au CR  de D&H PAYSAGES du 10/05/10,['10-05-2010'],"[8, 9, 10, 11, 12]","[64, 78, 99, 120, 134]",3,OPC
RAS,['28-06-2012'],"[59, 60, 61, 62, 63, 64, 67, 68, 69, 70, 71, 72, 72, 75, 76, 77, 78, 79]","[426, 442, 458, 472, 486, 499, 527, 540, 554, 573, 592, 608, 626, 660, 677, 690, 703, 716]",1,OPC
Recalage planning à prévoir au sortir des intempéries,['09-02-2012'],"[31, 32]","[345, 358]",1,OPC
Répondre remarque BC sur profondeur eau dans pédiluve FAIT,['01-09-2011'],"[25, 26, 29, 30]","[292, 303, 323, 334]",6,OPC
Transmettre planning TCE,['16-06-2011'],"[13, 14, 15]","[153, 165, 177]",2,OPC
"Annule et remplace la précédente, suite à réunion avec l‘architecte. 
Désenfumage des vestiaires individuels 
La surface au sol des vestiaires individuels, relevée sur le tableau de surfaces du DCE, est de 270 m². 
La surface utile des ouvrants de désenfumage est au minimum de 1/200ème  de la surface ci-dessus, soit 1,35 m² 
Le skydome a une taille de 1,20m x 1,20m, soit 1,44 m², ce qui est conforme. 
Les entrées d’air doivent donc avoir au total une taille au moins égale à la taille de cette évacuation. 
Les grilles doivent avoir une surface utile de 1,44 m². 
La dimension brute de l’entrée d’air du coin bébé est de 0,50 m² ; 
Les entrées d’air sous les porte-habits du coin beauté sont doublées, à 2 x 1,30 m x 0,40 m, soit 1,04 m² ; 
L’entrée d’air du rangement fauteuils roulants est doublée, à 2 m x 0,50 m, soit 1 m². 
Surface brute totale 2,54 m². 
Pour obtenir la surface utile définie plus haut de 1,44 m² les grilles auront environ 60% de surface libre. 
Les gaines auront au minimum la taille des ouvrants qu’elles alimentent, ce qui signifie que la grille des entrées d’air agrandies sera doublée 
elle aussi. ",['01-09-2011'],"[19, 20]","[226, 238]",67,BET STRUCTURE
"Communauté d’Agglomération des Portes du Hainaut – Construction d’un Centre Aquatique à St Amand Les Eaux – CR MOE N° 59 
 du 10/01/13 ",['18-10-2012'],"[59, 60, 61, 62, 63, 64]","[426, 442, 458, 472, 486, 499]",11,BET STRUCTURE
"Fiches observations à faire sur le mode constructif transmis par TOMMASINI, en rappel nous n’acceptons pas de variante, pas de préfa sur 
le site si non prévue à la base. Exemple gradin et escaliers.. ",['29-03-2011'],"[3, 4, 5, 6, 7]","[19, 27, 36, 46, 55]",11,BET STRUCTURE
"Nous faisons suite à vos réponses sur la mise en place de renforts suite aux nécessitées de découpe de certains voiles BA : 
• 
Nous vous demandons l’étude de la mise en place d’un fer U à mettre en place dans l’épaisseur des voiles. 
• 
Pour les deux percements suite au déplacement des gaines de soufflage du hall des bassins et pour l’ajout d’un désenfumage dans la
circulation des vestiaires groupe 
fait ",['08-11-2012'],"[59, 60, 61, 62, 63, 64, 67, 68]","[426, 442, 458, 472, 486, 499, 527, 540]",21,BET STRUCTURE
"Nous sommes dans l’attente de vos dimensionnements sur les cadres métallique à mettre en place dans les percements en remplacement des
plats carbones ",['29-11-2012'],"[59, 60, 61, 62, 63, 64, 67, 68]","[426, 442, 458, 472, 486, 499, 527, 540]",24,BET STRUCTURE
"Nous supprimons l’étanchéité des gradins, il n’y aura donc pas de pente à créer sous ces derniers, attention le carrelage sera sceller sur cette 
zone donc prévoir réservation entre 5 et 6 CM sur le dessus, les élévations des murets ne sont pas concernés par ce mode de pose, acre en 
collés ",['30-06-2011'],"[15, 16, 17, 18]","[177, 188, 204, 215]",19,BET STRUCTURE
"POINT STEREC sur potelet de ligne de vie 
Les potelets font 400 mm de haut en standard. 
L’effort maxi en extrémité, en tète de potelets et dans l’axe du câble est de 1400 daN. 
Sur les grandes longueurs ou avec des absorbeurs d’énergie sur les petites longueurs, nous sommes en mesure d’abaisser ces efforts à 1000 
daN. 
STEREC NORD PICARDIE 
+ PLAN IMPLANTATION ",['25-08-2011'],"[18, 19]","[215, 226]",49,BET STRUCTURE
Page 5 sur 13 ,['18-10-2012'],"[59, 60, 61, 62, 63, 64]","[426, 442, 458, 472, 486, 499]",13,BET STRUCTURE
"RAPPEL URGEN T : transmettre plan des massifs support de charpente pour intégration des platines de pré scellement, et intégration des 
DEP ",['30-06-2011'],"[15, 16, 17, 18]","[177, 188, 204, 215]",24,BET STRUCTURE
Rappel sur les descentes de Charge à SONDEFOR= plan implantation ,['05-04-2011'],"[4, 5, 6, 7]","[27, 36, 46, 55]",15,BET STRUCTURE
Reprendre et fournir les plans suite rehausse du local PAC,['15-09-2011'],"[21, 22, 23]","[250, 260, 271]",6,BET STRUCTURE
Revoir l’implantation du chrono sur les MR! à mettre en oeuvre sur voiles BA,['08-09-2011'],"[21, 22, 23]","[250, 260, 271]",4,BET STRUCTURE
"Répondre aux remarque du BC suite ADEX 11 
Faisant suite à votre bordereau réponses reprenant les plans ST116, ST234 et ST235 suivant nos observations 
reprises dans notre ADEX n°11, veuillez trouver ci-après nos remarques : 
- Plan ST 116 : ---> observations maintenues concernant les escaliers : absence d'informations sur plan 
concernant les hauteurs de marches et girons. 
- Plan ST 234 : ---> observations maintenues concernant les pédiluves : absence d'informations sur plan , nous 
rappelons que la profondeur des pédiluves ne doit pas excéder 15 cm selon article X 8. 
- Plan ST 235 : ---> observations maintenues : absence d'informations sur plan. ",['01-09-2011'],"[19, 20]","[226, 238]",26,BET STRUCTURE
"Réponse Mr KIEFER à SICRE 
OCTANT confirme que la hauteur d’eau au niveau du bassin sportif sera de 2.00m constant 
OCTANT confirme que sur le bassin ludique, il s’agit de profondeur d’eau  
OCTANT valide également la modification de hauteur d’eau à 0.60 en bas de l’escalier d’accès au bassin ludique (au lieu de 0.45) ainsi que 
la modification de la profondeur d’eau à 1.14/1.16 sur l’autre escalier d’accès (côté plages) 
Le plan sera modifié en conséquence. ",['26-04-2011'],"[6, 7, 8, 9, 10, 11, 12, 13, 14]","[46, 55, 65, 78, 99, 120, 134, 153, 165]",24,BET STRUCTURE
"Réservation SOJA à prendre en compte, une gaine technique est nécessaire dans l’entrée des groupe, à prendre en compte sur les plans 
structure ",['24-05-2011'],"[10, 11, 12, 13, 14]","[99, 120, 134, 153, 165]",18,BET STRUCTURE
